section	command_id	title	action_key
Media Explorer	1004	Browser: Go to parent folder	Media Explorer:1004
Main	1007	Transport: Play	Main:1007
Media Explorer	1008	Preview: Play	Media Explorer:1008
Main	1008	Transport: Pause	Main:1008
Media Explorer	1009	Preview: Stop	Media Explorer:1009
Media Explorer	1010	Preview: Pause	Media Explorer:1010
Media Explorer	1011	Autoplay: Toggle on/off	Media Explorer:1011
Main	1011	View: Zoom out horizontal	Main:1011
Media Explorer	1012	Start on bar: Toggle on/off	Media Explorer:1012
Main	1012	View: Zoom in horizontal	Main:1012
Media Explorer	1013	Browser: Browse selected folder, or insert selected media file	Media Explorer:1013
Main	1013	Transport: Record	Main:1013
Main	1016	Transport: Stop	Main:1016
Main	1041	Track: Cycle track folder state	Main:1041
Main	1042	Track: Cycle folder collapsed state	Main:1042
Media Explorer	1068	Preview: Toggle repeat on/off	Media Explorer:1068
Main	1068	Transport: Toggle repeat	Main:1068
Main	1134	Transport: Tap tempo	Main:1134
Main	1135	Options: Toggle locking	Main:1135
Main	1155	Options: Cycle ripple editing mode	Main:1155
Main	1156	Options: Toggle item grouping override	Main:1156
Main	1157	Options: Toggle snapping	Main:1157
Main	14	Track: Toggle mute for master track	Main:14
Media Explorer	1450	Browser: Go to previous folder in history	Media Explorer:1450
Media Explorer	1451	Browser: Go to next folder in history	Media Explorer:1451
Main	15	Track: Toggle solo for master track	Main:15
Main	1528	Menu: Customize...	Main:1528
Main	1582	Project bay: Force refresh	Main:1582
Main	16	Track: Toggle FX bypass for master track	Main:16
Main	2003	Action: Modify MIDI CC/mousewheel: Negative	Main:2003
Main	2004	Action: Modify MIDI CC/mousewheel: 0.5x	Main:2004
Main	2005	Action: Modify MIDI CC/mousewheel: 2x	Main:2005
Main	2006	Action: Modify MIDI CC/mousewheel: +10%	Main:2006
Main	2007	Action: Modify MIDI CC/mousewheel: -10%	Main:2007
Main	2999	Action: Repeat the most recent action	Main:2999
Main	3000	Action: Repeat the action prior to the most recent action	Main:3000
Main	40001	Track: Insert new track	Main:40001
Main	40002	Set project tempo from time selection (detect tempo, align items and loop points to measure start)	Main:40002
Main	40003	Transport: Start/stop recording at next measure	Main:40003
Main	40004	File: Quit REAPER	Main:40004
Main	40005	Track: Remove tracks	Main:40005
Media Explorer	40006	Browser: Toggle display all files/supported media only	Media Explorer:40006
Main	40006	Item: Remove items	Main:40006
Main	40007	Help: About REAPER	Main:40007
Media Explorer	40008	Dock Media Explorer in Docker	Media Explorer:40008
Main	40009	Item properties: Show media item/take properties	Main:40009
Media Explorer	40009	Stop preview when inserting media: Toggle on/off	Media Explorer:40009
Main	40011	Item properties: Show media item source properties	Main:40011
Main	40012	Item: Split items at edit or play cursor	Main:40012
Main	40013	Insert click source	Main:40013
Media Explorer	40013	Options: Open projects in new tab	Media Explorer:40013
Main	40014	Item: Copy loop of selected area of audio items	Main:40014
Main	40015	File: Render project to disk...	Main:40015
Main	40016	Options: Preferences...	Main:40016
Media Explorer	40016	Unload current preview media	Media Explorer:40016
Main	40017	File: Save live output to disk (bounce)...	Main:40017
Media Explorer	40017	Show action list	Media Explorer:40017
Media Explorer	40018	Browser: Refresh	Media Explorer:40018
Main	40018	Insert media files...	Main:40018
Media Explorer	40019	Tempo match: Off	Media Explorer:40019
Media Explorer	40020	Tempo match: On	Media Explorer:40020
Main	40020	Time selection: Remove time selection and loop points	Main:40020
Main	40021	File: Project settings...	Main:40021
Media Explorer	40021	Tempo match: /2	Media Explorer:40021
Main	40022	File: Save project as...	Main:40022
Media Explorer	40022	Tempo match: x2	Media Explorer:40022
Main	40023	File: New project	Main:40023
Media Explorer	40023	Tempo match: Toggle on/off	Media Explorer:40023
Media Explorer	40024	Preview: Play/stop	Media Explorer:40024
Main	40024	Show record path in explorer	Main:40024
Main	40025	File: Open project	Main:40025
Media Explorer	40025	Preview: Play/pause	Media Explorer:40025
Main	40026	File: Save project	Main:40026
Media Explorer	40026	Play previously previewed media (A/B)	Media Explorer:40026
Media Explorer	40027	Preview: Play from last seek position	Media Explorer:40027
Main	40027	Show REAPER resource path in explorer	Main:40027
Media Explorer	40028	Preview: Play/pause from last seek position	Media Explorer:40028
Main	40028	Show secondary record path in explorer	Main:40028
Media Explorer	40029	Browser: Select previous file in directory	Media Explorer:40029
Main	40029	Edit: Undo	Main:40029
Media Explorer	40030	Browser: Select next file in directory	Media Explorer:40030
Main	40030	Edit: Redo	Main:40030
Media Explorer	40031	Preview: Rewind to start	Media Explorer:40031
Main	40031	View: Zoom time selection	Main:40031
Main	40032	Item grouping: Group items	Main:40032
Media Explorer	40032	Toggle preview position display between full seconds and tenths of seconds	Media Explorer:40032
Main	40033	Item grouping: Remove items from group	Main:40033
Media Explorer	40033	Preview: Rewind a little bit	Media Explorer:40033
Main	40034	Item grouping: Select all items in groups	Main:40034
Media Explorer	40034	Preview: Fast forward a little bit	Media Explorer:40034
Media Explorer	40035	Autoplay: On	Media Explorer:40035
Main	40035	Select all items/tracks/envelope points (depending on focus)	Main:40035
Media Explorer	40036	Autoplay: Off	Media Explorer:40036
Main	40036	View: Toggle auto-view-scroll during playback	Main:40036
Media Explorer	40037	Start on bar: On	Media Explorer:40037
Main	40037	Time selection: Shift left (by time selection length)	Main:40037
Media Explorer	40038	Start on bar: Off	Media Explorer:40038
Main	40038	Time selection: Shift right (by time selection length)	Main:40038
Media Explorer	40039	Preview: Repeat on	Media Explorer:40039
Main	40039	Time selection: Nudge left	Main:40039
Media Explorer	40040	Preview: Repeat off	Media Explorer:40040
Main	40040	Time selection: Nudge right	Main:40040
Media Explorer	40041	Browser: Select all media files	Media Explorer:40041
Main	40041	Options: Toggle auto-crossfade on/off	Main:40041
Media Explorer	40042	Show source properties for current preview media	Media Explorer:40042
Main	40042	Transport: Go to start of project	Main:40042
Main	40043	Transport: Go to end of project	Main:40043
Main	40044	Transport: Play/stop	Main:40044
Main	40045	Transport: Start/stop recording at next beat	Main:40045
Main	40046	Transport: Start/stop recording at edit cursor	Main:40046
Main	40047	Peaks: Build any missing peaks	Main:40047
Media Explorer	40047	Toggle embedding Windows Explorer	Media Explorer:40047
Main	40048	Peaks: Rebuild all peaks	Main:40048
Main	40049	Time selection: Crop project to time selection	Main:40049
Main	40050	Track: Toggle track pre-FX volume envelope active	Main:40050
Main	40051	Track: Toggle track pre-FX pan envelope active	Main:40051
Main	40052	Track: Toggle track volume envelope active	Main:40052
Main	40053	Track: Toggle track pan envelope active	Main:40053
Media Explorer	40054	Options: Insert media on new track	Media Explorer:40054
Main	40056	Transport: Start/stop recording at next project marker	Main:40056
Main	40057	Edit: Copy items/tracks/envelope points (depending on focus) ignoring time selection	Main:40057
Media Explorer	40057	Options: Open projects in current tab	Media Explorer:40057
Main	40058	Item: Paste items/tracks	Main:40058
Main	40059	Edit: Cut items/tracks/envelope points (depending on focus) ignoring time selection	Main:40059
Main	40060	Item: Copy selected area of items	Main:40060
Main	40061	Item: Split items at time selection	Main:40061
Main	40062	Track: Duplicate tracks	Main:40062
Main	40063	File: Spawn new instance of REAPER	Main:40063
Media Explorer	40063	Options: Insert media on selected track	Media Explorer:40063
Media Explorer	40064	Options: Default action inserts media	Media Explorer:40064
Main	40065	Envelope: Clear envelope	Main:40065
Media Explorer	40066	Options: Default action starts preview	Media Explorer:40066
Media Explorer	40067	Options: Default action does nothing	Media Explorer:40067
Main	40067	Transport: Start/stop recording after 2 beats	Main:40067
Main	40068	Item lanes: Move item up one lane (when showing overlapping items in lanes)	Main:40068
Media Explorer	40068	Options: Preserve pitch when tempo-matching preview	Media Explorer:40068
Media Explorer	40069	Close Media Explorer window	Media Explorer:40069
Main	40069	View: Jump to time window	Main:40069
Main	40070	Options: Envelope points move with media items	Main:40070
Main	40071	Options: Show snap/grid settings	Main:40071
Main	40072	View: Show undo history window	Main:40072
Main	40073	Transport: Play/pause	Main:40073
Main	40075	View: Toggle master track visible	Main:40075
Main	40076	Record: Set record mode to time selection auto-punch	Main:40076
Main	40078	View: Toggle mixer visible	Main:40078
Main	40080	Mixer: Toggle show folder tracks in mixer	Main:40080
Main	40081	Mixer: Toggle folder tracks grouping to left	Main:40081
Main	40082	Mixer: Toggle show normal top level tracks in mixer	Main:40082
Main	40083	Mixer: Toggle docking in docker	Main:40083
Main	40084	Transport: Rewind a little bit	Main:40084
Main	40085	Transport: Fast forward a little bit	Main:40085
Main	40086	Automation: Set all tracks automation mode to read	Main:40086
Main	40087	Automation: Set all tracks automation mode to touch	Main:40087
Main	40088	Automation: Set all tracks automation mode to trim/read	Main:40088
Main	40089	Envelope: Delete all points in time selection	Main:40089
Main	40090	Automation: Set all tracks automation mode to write	Main:40090
Main	40097	Peaks: Remove all peak cache files	Main:40097
Main	40098	File: Clean current project directory	Main:40098
Main	40099	Audio device configuration...	Main:40099
Main	40100	Item: Set all media offline	Main:40100
Main	40101	Item: Set all media online	Main:40101
Main	40102	Time selection: Move cursor left, creating time selection	Main:40102
Main	40103	Time selection: Move cursor right, creating time selection	Main:40103
Main	40104	View: Move cursor left one pixel	Main:40104
Main	40105	View: Move cursor right one pixel	Main:40105
Main	40107	Item lanes: Move item down one lane (when showing overlapping items in lanes)	Main:40107
Main	40108	Item properties: Normalize items	Main:40108
Main	40109	Item: Open items in primary external editor	Main:40109
Main	40110	View: Toggle track zoom to minimum height	Main:40110
Main	40111	View: Zoom in vertical	Main:40111
Main	40112	View: Zoom out vertical	Main:40112
Main	40113	View: Toggle track zoom to maximum height	Main:40113
Main	40114	Options: Loop recording always adds takes to newly recorded items (except in track free item positioning mode)	Main:40114
Main	40115	Track: Nudge track volume up	Main:40115
Main	40116	Track: Nudge track volume down	Main:40116
Main	40117	Item edit: Move items/envelope points up one track/a bit	Main:40117
Main	40118	Item edit: Move items/envelope points down one track/a bit	Main:40118
Main	40119	Item edit: Move items/envelope points right	Main:40119
Main	40120	Item edit: Move items/envelope points left	Main:40120
Main	40121	Item edit: Move items left, preserving timing of contents	Main:40121
Main	40122	Item edit: Move items right, preserving timing of contents	Main:40122
Main	40123	Item edit: Move contents of items left	Main:40123
Main	40124	Item edit: Move contents of items right	Main:40124
Main	40125	Take: Switch items to next take	Main:40125
Main	40126	Take: Switch items to previous take	Main:40126
Main	40129	Take: Delete active take from items	Main:40129
Main	40130	Take: Delete active take from items (prompt to confirm)	Main:40130
Main	40131	Take: Crop to active take in items	Main:40131
Main	40132	Item: Open item copies in primary external editor	Main:40132
Main	40138	View: Scroll view up	Main:40138
Main	40139	View: Scroll view down	Main:40139
Main	40140	View: Scroll view left	Main:40140
Main	40141	View: Scroll view right	Main:40141
Main	40142	Insert empty item	Main:40142
Main	40145	Options: Toggle grid lines	Main:40145
Main	40150	View: Go to play position	Main:40150
Main	40151	View: Go to cursor	Main:40151
Main	40153	Item: Open in built-in MIDI editor (set default behavior in preferences)	Main:40153
Main	40155	Peaks: Increase peaks view gain	Main:40155
Main	40156	Peaks: Decrease peaks view gain	Main:40156
Main	40157	Markers: Insert marker at current position	Main:40157
Main	40171	Markers: Insert and/or edit marker at current position	Main:40171
Main	40172	Markers: Go to previous marker/project start	Main:40172
Main	40173	Markers: Go to next marker/project end	Main:40173
Main	40174	Markers: Insert region from time selection	Main:40174
Main	40175	Item properties: Toggle mute	Main:40175
Main	40176	Item properties: Set take channel mode to normal	Main:40176
Main	40177	Item properties: Set take channel mode to reverse stereo	Main:40177
Main	40178	Item properties: Set take channel mode to mono (downmix)	Main:40178
Main	40179	Item properties: Set take channel mode to mono (left)	Main:40179
Main	40180	Item properties: Set take channel mode to mono (right)	Main:40180
Main	40181	Item properties: Toggle item phase	Main:40181
Main	40182	Item: Select all items	Main:40182
Main	40183	Item properties: Toggle items/tracks mute (depending on focus)	Main:40183
Main	40184	Remove items/tracks/envelope points (depending on focus) - no prompting	Main:40184
Main	40185	File: Consolidate tracks...	Main:40185
Main	40186	Item: Split items at edit or play cursor (ignoring grouping)	Main:40186
Main	40187	Envelope: Set default point shape to linear	Main:40187
